id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
814282002012,"Kentwood City, Ward 2, Precinct 12",407,65,2
814282002013,"Kentwood City, Ward 2, Precinct 13",475,55,2
814282002014,"Kentwood City, Ward 2, Precinct 14",547,78,3
814282002015,"Kentwood City, Ward 2, Precinct 15",407,53,1
814282002016,"Kentwood City, Ward 2, Precinct 16",714,75,1
814956000001,"Lowell Charter Township, Precinct 1",404,82,2
814956000002,"Lowell Charter Township, Precinct 2",446,102,0
814954000001,"Lowell City, Precinct 1",306,56,3
814954000002,"Lowell City, Precinct 2",197,30,0
815692000001,"Nelson Township, Precinct 1",203,29,3
815692000002,"Nelson Township, Precinct 2",200,38,0
815958000001,"Oakfield Township, Precinct 1",246,44,1
815958000002,"Oakfield Township, Precinct 2",226,38,0
815958000003,"Oakfield Township, Precinct 3",209,35,0
816466000001,"Plainfield Charter Township, Precinct 1",548,57,1
816466000002,"Plainfield Charter Township, Precinct 2",410,77,1
816466000003,"Plainfield Charter Township, Precinct 3",767,116,5
816466000004,"Plainfield Charter Township, Precinct 4",495,58,2
816466000006,"Plainfield Charter Township, Precinct 6",512,66,2
816466000007,"Plainfield Charter Township, Precinct 7",637,59,1
816466000008,"Plainfield Charter Township, Precinct 8",654,78,2
816466000009,"Plainfield Charter Township, Precinct 9",501,72,3
816466000010,"Plainfield Charter Township, Precinct 10",421,54,0
816466000011,"Plainfield Charter Township, Precinct 11",498,54,1
816908000001,"Rockford City, Precinct 1",384,47,3
816908000002,"Rockford City, Precinct 2",678,109,1
817446000001,"Solon Township, Precinct 1",236,42,0
817446000002,"Solon Township, Precinct 2",210,53,2
817446000003,"Solon Township, Precinct 3",145,40,0
817544000001,"Sparta Township, Precinct 1",423,67,4
817544000002,"Sparta Township, Precinct 2",428,86,0
817556000001,"Spencer Township, Precinct 1",248,34,0
817556000002,"Spencer Township, Precinct 2",133,24,2
818114000001,"Tyrone Township, Precinct 1",325,57,1
818192000001,"Vergennes Township, Precinct 1",335,48,0
818192000002,"Vergennes Township, Precinct 2",337,60,2
818296001001,"Walker City, Ward 1, Precinct 1",509,75,2
818296001002,"Walker City, Ward 1, Precinct 2",542,69,1
818296002003,"Walker City, Ward 2, Precinct 3",673,88,4
818296002004,"Walker City, Ward 2, Precinct 4",567,79,4
818296003005,"Walker City, Ward 3, Precinct 5",597,99,3
818296003006,"Walker City, Ward 3, Precinct 6",470,81,3
818894001001,"Wyoming City, Ward 1, Precinct 1",528,91,5
818894001002,"Wyoming City, Ward 1, Precinct 2",360,94,3
818894001003,"Wyoming City, Ward 1, Precinct 3",593,78,1
818894001004,"Wyoming City, Ward 1, Precinct 4",322,34,2
818894001005,"Wyoming City, Ward 1, Precinct 5",489,78,1
818894001006,"Wyoming City, Ward 1, Precinct 6",496,83,3
818894002007,"Wyoming City, Ward 2, Precinct 7",546,100,3
818894002008,"Wyoming City, Ward 2, Precinct 8",275,65,2
818894002009,"Wyoming City, Ward 2, Precinct 9",389,85,6
818894002010,"Wyoming City, Ward 2, Precinct 10",405,73,3
818894002011,"Wyoming City, Ward 2, Precinct 11",372,65,2
818894002012,"Wyoming City, Ward 2, Precinct 12",269,40,0
818894003013,"Wyoming City, Ward 3, Precinct 13",357,71,4
818894003014,"Wyoming City, Ward 3, Precinct 14",382,84,1
818894003015,"Wyoming City, Ward 3, Precinct 15",511,68,2
818894003016,"Wyoming City, Ward 3, Precinct 16",503,70,2
818894003017,"Wyoming City, Ward 3, Precinct 17",414,56,1
818894003018,"Wyoming City, Ward 3, Precinct 18",409,37,1
