id,name,Ryan Cushman,Terri DeBoer,Write-in
818296001001,"Walker City, Ward 1, Precinct 1",66,148,0
818296001002,"Walker City, Ward 1, Precinct 2",98,331,0
818296002003,"Walker City, Ward 2, Precinct 3",90,463,0
818296002004,"Walker City, Ward 2, Precinct 4",115,403,0
818296003005,"Walker City, Ward 3, Precinct 5",82,341,1
818296003006,"Walker City, Ward 3, Precinct 6",123,405,0
818894001001,"Wyoming City, Ward 1, Precinct 1",52,164,0
818894001002,"Wyoming City, Ward 1, Precinct 2",40,138,1
818894001003,"Wyoming City, Ward 1, Precinct 3",103,382,1
818894001004,"Wyoming City, Ward 1, Precinct 4",43,171,0
818894001005,"Wyoming City, Ward 1, Precinct 5",60,229,1
818894001006,"Wyoming City, Ward 1, Precinct 6",63,169,1
818894002007,"Wyoming City, Ward 2, Precinct 7",81,210,0
818894002008,"Wyoming City, Ward 2, Precinct 8",30,117,1
818894002009,"Wyoming City, Ward 2, Precinct 9",23,98,0
818894002010,"Wyoming City, Ward 2, Precinct 10",49,190,0
818894002011,"Wyoming City, Ward 2, Precinct 11",49,158,1
818894002012,"Wyoming City, Ward 2, Precinct 12",38,120,0
818894003013,"Wyoming City, Ward 3, Precinct 13",60,278,0
818894003014,"Wyoming City, Ward 3, Precinct 14",41,148,0
818894003015,"Wyoming City, Ward 3, Precinct 15",74,309,0
818894003016,"Wyoming City, Ward 3, Precinct 16",92,323,2
818894003017,"Wyoming City, Ward 3, Precinct 17",83,322,2
818894003018,"Wyoming City, Ward 3, Precinct 18",59,300,0
