id,name,Hillary Scholten,Write-in
814282001005,"Kentwood City, Ward 1, Precinct 5",181,1
814282001006,"Kentwood City, Ward 1, Precinct 6",324,2
814282001007,"Kentwood City, Ward 1, Precinct 7",363,4
814282001008,"Kentwood City, Ward 1, Precinct 8",515,6
814282001009,"Kentwood City, Ward 1, Precinct 9",399,7
814282001017,"Kentwood City, Ward 1, Precinct 17",478,2
814282002010,"Kentwood City, Ward 2, Precinct 10",353,3
814282002011,"Kentwood City, Ward 2, Precinct 11",638,6
814282002012,"Kentwood City, Ward 2, Precinct 12",440,3
814282002013,"Kentwood City, Ward 2, Precinct 13",503,4
814282002014,"Kentwood City, Ward 2, Precinct 14",581,3
814282002015,"Kentwood City, Ward 2, Precinct 15",420,6
814282002016,"Kentwood City, Ward 2, Precinct 16",730,8
816466000001,"Plainfield Charter Township, Precinct 1",567,4
816466000002,"Plainfield Charter Township, Precinct 2",458,2
816466000003,"Plainfield Charter Township, Precinct 3",813,13
816466000004,"Plainfield Charter Township, Precinct 4",524,2
816466000006,"Plainfield Charter Township, Precinct 6",540,6
816466000007,"Plainfield Charter Township, Precinct 7",664,6
816466000008,"Plainfield Charter Township, Precinct 8",685,2
816466000009,"Plainfield Charter Township, Precinct 9",539,9
816466000010,"Plainfield Charter Township, Precinct 10",446,4
816466000011,"Plainfield Charter Township, Precinct 11",508,2
816908000001,"Rockford City, Precinct 1",392,8
816908000002,"Rockford City, Precinct 2",741,6
818296001001,"Walker City, Ward 1, Precinct 1",554,5
818296001002,"Walker City, Ward 1, Precinct 2",555,8
818296002003,"Walker City, Ward 2, Precinct 3",723,6
818296002004,"Walker City, Ward 2, Precinct 4",623,2
818296003005,"Walker City, Ward 3, Precinct 5",646,6
818296003006,"Walker City, Ward 3, Precinct 6",516,8
818894001001,"Wyoming City, Ward 1, Precinct 1",574,9
818894001002,"Wyoming City, Ward 1, Precinct 2",425,6
818894001003,"Wyoming City, Ward 1, Precinct 3",618,6
818894001004,"Wyoming City, Ward 1, Precinct 4",326,7
818894001005,"Wyoming City, Ward 1, Precinct 5",533,7
818894001006,"Wyoming City, Ward 1, Precinct 6",548,9
818894002007,"Wyoming City, Ward 2, Precinct 7",603,14
818894002008,"Wyoming City, Ward 2, Precinct 8",318,6
818894002009,"Wyoming City, Ward 2, Precinct 9",433,12
818894002010,"Wyoming City, Ward 2, Precinct 10",428,13
818894002011,"Wyoming City, Ward 2, Precinct 11",395,10
818894002012,"Wyoming City, Ward 2, Precinct 12",291,2
818894003013,"Wyoming City, Ward 3, Precinct 13",401,8
818894003014,"Wyoming City, Ward 3, Precinct 14",429,6
818894003015,"Wyoming City, Ward 3, Precinct 15",534,9
818894003016,"Wyoming City, Ward 3, Precinct 16",538,2
818894003017,"Wyoming City, Ward 3, Precinct 17",442,2
818894003018,"Wyoming City, Ward 3, Precinct 18",428,3
