name,ballots,T. P. Nykoriak,Write-in,id
"City of Lincoln Park, Precinct 7",644,132,0,1634780000007
"City of Lincoln Park, Precinct 9",686,156,1,1634780000009
"City of Melvindale, Precinct 1",228,34,0,1635294000001
"City of Melvindale, Precinct 2",166,29,0,1635294000002
"City of Melvindale, Precinct 3",159,28,0,1635294000003
"City of Melvindale, Precinct 4",136,28,1,1635294000004
"City of Melvindale, Precinct 5",175,29,0,1635294000005
"City of River Rouge, Precinct 1",73,12,2,1636876000001
"City of River Rouge, Precinct 2",69,11,0,1636876000002
"City of River Rouge, Precinct 3",56,10,0,1636876000003
"City of River Rouge, Precinct 4",117,1,0,1636876000004
"City of River Rouge, Precinct 5",92,2,0,1636876000005
"City of Romulus, Precinct 1",266,50,0,1636942000001
"City of Romulus, Precinct 10",311,26,1,1636942000010
"City of Romulus, Precinct 2",522,61,0,1636942000002
"City of Romulus, Precinct 3",249,87,0,1636942000003
"City of Romulus, Precinct 4",318,59,1,1636942000004
"City of Romulus, Precinct 5",346,55,0,1636942000005
"City of Romulus, Precinct 6",85,11,0,1636942000006
"City of Romulus, Precinct 7",316,21,0,1636942000007
"City of Romulus, Precinct 8",561,27,2,1636942000008
"City of Romulus, Precinct 9",183,30,2,1636942000009
"City of Southgate, Precinct 1",763,159,1,1637496000001
"City of Southgate, Precinct 2",810,184,2,1637496000002
"City of Southgate, Precinct 3",853,181,2,1637496000003
"City of Southgate, Precinct 4",732,149,2,1637496000004
"City of Southgate, Precinct 5",1022,241,1,1637496000005
"City of Taylor, Precinct 1",392,94,1,1637900000001
"City of Taylor, Precinct 10",614,140,3,1637900000010
"City of Taylor, Precinct 11",313,107,0,1637900000011
"City of Taylor, Precinct 12",562,153,1,1637900000012
"City of Taylor, Precinct 13",616,143,2,1637900000013
"City of Taylor, Precinct 14",356,95,1,1637900000014
"City of Taylor, Precinct 15",444,102,0,1637900000015
"City of Taylor, Precinct 2",180,50,0,1637900000002
"City of Taylor, Precinct 3",381,83,2,1637900000003
"City of Taylor, Precinct 4",485,122,1,1637900000004
"City of Taylor, Precinct 5",769,233,2,1637900000005
"City of Taylor, Precinct 6",406,67,0,1637900000006
"City of Taylor, Precinct 7",458,125,2,1637900000007
"City of Taylor, Precinct 8",472,124,1,1637900000008
"City of Taylor, Precinct 9",483,111,1,1637900000009
"City of Wayne, Precinct 1",558,97,3,1638494000001
"City of Wayne, Precinct 2",665,113,0,1638494000002
"City of Wayne, Precinct 3",833,161,2,1638494000003
"City of Wyandotte, Precinct 1",683,175,0,1638890000001
"City of Wyandotte, Precinct 2",909,216,1,1638890000002
"City of Wyandotte, Precinct 3",812,172,1,1638890000003
"City of Wyandotte, Precinct 4",1101,257,9,1638890000004
"City of Wyandotte, Precinct 5",532,121,2,1638890000005
"The Village of Grosse Pointe Shores, a Michigan City, Precinct 1",655,266,5,1638245300001
