name,ballots,T. P. Nykoriak,Write-in,id
"City of Harper Woods, Precinct 2",487,54,4,1633670000002
"City of Harper Woods, Precinct 3",601,61,2,1633670000003
"City of Highland Park, Precinct 1",152,4,1,1633818000001
"City of Highland Park, Precinct 2",166,3,0,1633818000002
"City of Highland Park, Precinct 3",162,4,1,1633818000003
"City of Highland Park, Precinct 4",106,3,0,1633818000004
"City of Highland Park, Precinct 5",84,0,0,1633818000005
"City of Highland Park, Precinct 6",119,0,0,1633818000006
"City of Lincoln Park, Precinct 1",301,69,1,1634780000001
"City of Lincoln Park, Precinct 3",271,57,0,1634780000003
"City of Lincoln Park, Precinct 5",410,107,0,1634780000005
"City of Lincoln Park, Precinct 7",339,113,2,1634780000007
"City of Lincoln Park, Precinct 9",259,76,2,1634780000009
"City of Lincoln Park, Precinct 11",337,88,1,1634780000011
"City of Melvindale, Precinct 1",162,26,1,1635294000001
"City of Melvindale, Precinct 2",163,41,3,1635294000002
"City of Melvindale, Precinct 3",147,22,0,1635294000003
"City of Melvindale, Precinct 4",131,27,0,1635294000004
"City of Melvindale, Precinct 5",161,33,0,1635294000005
"City of River Rouge, Precinct 1",88,9,0,1636876000001
"City of River Rouge, Precinct 2",67,13,1,1636876000002
"City of River Rouge, Precinct 3",74,12,0,1636876000003
"City of River Rouge, Precinct 4",123,3,0,1636876000004
"City of River Rouge, Precinct 5",79,2,0,1636876000005
"City of Romulus, Precinct 1",195,59,2,1636942000001
"City of Romulus, Precinct 2",358,42,0,1636942000002
"City of Romulus, Precinct 3",177,84,1,1636942000003
"City of Romulus, Precinct 4",172,40,1,1636942000004
"City of Romulus, Precinct 5",198,36,3,1636942000005
"City of Romulus, Precinct 6",118,18,1,1636942000006
"City of Romulus, Precinct 7",175,19,1,1636942000007
"City of Romulus, Precinct 8",330,30,0,1636942000008
"City of Romulus, Precinct 9",123,33,2,1636942000009
"City of Romulus, Precinct 10",153,20,0,1636942000010
"City of Southgate, Precinct 1",453,157,1,1637496000001
"City of Southgate, Precinct 2",464,112,1,1637496000002
"City of Southgate, Precinct 3",534,174,1,1637496000003
"City of Southgate, Precinct 4",443,143,1,1637496000004
"City of Southgate, Precinct 5",558,210,1,1637496000005
"City of Taylor, Precinct 1",277,107,1,1637900000001
"City of Taylor, Precinct 2",190,68,1,1637900000002
"City of Taylor, Precinct 3",252,66,1,1637900000003
"City of Taylor, Precinct 4",284,116,0,1637900000004
"City of Taylor, Precinct 5",280,93,2,1637900000005
"City of Taylor, Precinct 6",244,72,2,1637900000006
"City of Taylor, Precinct 7",265,88,2,1637900000007
"City of Taylor, Precinct 8",345,125,4,1637900000008
"City of Taylor, Precinct 9",227,60,1,1637900000009
"City of Taylor, Precinct 10",285,76,1,1637900000010
"City of Taylor, Precinct 11",235,65,3,1637900000011
"City of Taylor, Precinct 12",272,97,2,1637900000012
"City of Taylor, Precinct 13",279,88,0,1637900000013
"City of Taylor, Precinct 14",173,48,0,1637900000014
"City of Taylor, Precinct 15",197,53,3,1637900000015
"City of Wayne, Precinct 1",427,125,7,1638494000001
"City of Wayne, Precinct 2",413,90,4,1638494000002
"City of Wayne, Precinct 3",540,117,2,1638494000003
"City of Wyandotte, Precinct 1",450,139,0,1638890000001
"City of Wyandotte, Precinct 2",588,172,1,1638890000002
"City of Wyandotte, Precinct 3",422,144,3,1638890000003
"City of Wyandotte, Precinct 4",551,198,6,1638890000004
"City of Wyandotte, Precinct 5",432,165,3,1638890000005
