name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Detroit, Precinct 224",37,10,2,24,0,1632200002224.0
"City of Detroit, Precinct 225",19,9,0,10,0,1632200002225.0
"City of Detroit, Precinct 226",18,6,1,8,0,1632200002226.0
"City of Detroit, Precinct 227",4,1,0,3,0,1632200002227.0
"City of Detroit, Precinct 228",15,7,0,8,0,1632200002228.0
"City of Detroit, Precinct 229",12,3,0,9,0,1632200002229.0
"City of Detroit, Precinct 230",16,2,1,12,0,1632200002230.0
"City of Detroit, Precinct 231",18,2,0,16,0,1632200002231.0
"City of Detroit, Precinct 232",14,6,1,6,0,1632200002232.0
"City of Detroit, Precinct 233",22,5,2,14,0,1632200002233.0
"City of Detroit, Precinct 234",8,3,0,5,0,1632200002234.0
"City of Detroit, Precinct 236",22,9,1,10,0,1632200002236.0
"City of Detroit, Precinct 238",19,10,1,8,0,1632200002238.0
"City of Detroit, Precinct 239",16,7,0,9,0,1632200002239.0
"City of Detroit, Precinct 240",24,10,0,14,0,1632200002240.0
"City of Detroit, Precinct 241",13,2,2,8,0,1632200002241.0
"City of Detroit, Precinct 242",16,6,1,8,0,1632200002242.0
"City of Detroit, Precinct 243",3,0,0,2,0,1632200002243.0
"City of Detroit, Precinct 244",24,2,1,19,0,1632200002244.0
"City of Detroit, Precinct 246",9,2,0,7,0,1632200002246.0
"City of Detroit, Precinct 247",8,2,2,4,0,1632200002247.0
"City of Detroit, Precinct 248",7,4,0,3,0,1632200002248.0
"City of Detroit, Precinct 249",5,2,0,3,0,1632200002249.0
"City of Detroit, Precinct 250",7,3,0,4,0,1632200002250.0
"City of Detroit, Precinct 251",5,2,0,3,0,1632200002251.0
"City of Detroit, Precinct 252",8,3,0,5,0,1632200002252.0
"City of Detroit, Precinct 253",9,2,0,7,0,1632200002253.0
"City of Detroit, Precinct 254",11,0,0,11,0,1632200002254.0
"City of Detroit, Precinct 256",6,2,0,4,0,1632200002256.0
"City of Detroit, Precinct 257",20,5,0,15,0,1632200002257.0
"City of Detroit, Precinct 258",20,9,1,9,1,1632200002258.0
"City of Detroit, Precinct 259",24,14,0,10,0,1632200002259.0
"City of Detroit, Precinct 260",17,5,0,10,0,1632200002260.0
"City of Detroit, Precinct 261",17,4,0,11,0,1632200001261.0
