name,ballots,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in,id
"City of Detroit, Precinct 175",31,0,0,0,0,0,1632200003175.0
"City of Detroit, Precinct 176",50,0,0,0,0,0,1632200003176.0
"City of Detroit, Precinct 177",84,1,0,0,1,0,1632200003177.0
"City of Detroit, Precinct 178",49,0,2,0,0,0,1632200003178.0
"City of Detroit, Precinct 180",80,0,1,0,0,0,1632200003180.0
"City of Detroit, Precinct 182",120,0,2,2,0,0,1632200003182.0
"City of Detroit, Precinct 183",51,0,0,0,0,0,1632200003183.0
"City of Detroit, Precinct 184",122,0,2,0,0,0,1632200003184.0
"City of Detroit, Precinct 185",90,2,0,2,0,0,1632200003185.0
"City of Detroit, Precinct 188",67,0,0,2,0,0,1632200003188.0
"City of Detroit, Precinct 189",65,1,2,0,0,0,1632200003189.0
"City of Detroit, Precinct 190",39,0,0,0,0,0,1632200003190.0
"City of Detroit, Precinct 191",79,0,0,2,0,0,1632200003191.0
"City of Detroit, Precinct 192",67,0,2,2,0,0,1632200003192.0
"City of Detroit, Precinct 193",42,0,4,0,0,0,1632200003193.0
"City of Detroit, Precinct 194",63,1,3,0,0,0,1632200003194.0
"City of Detroit, Precinct 195",103,0,6,0,0,0,1632200003195.0
"City of Detroit, Precinct 197",39,0,0,1,0,0,1632200003197.0
"City of Detroit, Precinct 198",108,2,0,1,0,0,1632200003198.0
"City of Detroit, Precinct 199",21,0,0,1,0,0,1632200003199.0
"City of Detroit, Precinct 200",124,0,2,5,0,0,1632200002200.0
"City of Detroit, Precinct 201",426,1,5,6,1,0,1632200002201.0
"City of Detroit, Precinct 203",274,0,3,3,0,0,1632200002203.0
"City of Detroit, Precinct 204",238,0,2,1,0,0,1632200002204.0
"City of Detroit, Precinct 207",252,0,2,0,1,0,1632200002207.0
"City of Detroit, Precinct 208",267,0,7,2,0,0,1632200002208.0
"City of Detroit, Precinct 209",40,0,0,0,0,0,1632200002209.0
"City of Detroit, Precinct 210",93,1,1,0,0,0,1632200002210.0
"City of Detroit, Precinct 211",178,1,4,2,0,0,1632200002211.0
"City of Detroit, Precinct 212",108,0,2,0,0,0,1632200005212.0
"City of Detroit, Precinct 215",59,0,1,1,0,0,1632200005215.0
"City of Detroit, Precinct 216",55,0,1,0,0,0,1632200005216.0
"City of Detroit, Precinct 217",131,0,3,2,0,0,1632200005217.0
"City of Detroit, Precinct 218",44,2,0,0,0,0,1632200005218.0
"City of Detroit, Precinct 219",55,0,1,1,0,0,1632200005219.0
"City of Detroit, Precinct 220",63,0,2,0,0,0,1632200005220.0
"City of Detroit, Precinct 221",231,1,0,1,0,0,1632200002221.0
"City of Detroit, Precinct 222",75,0,2,0,0,0,1632200002222.0
"City of Detroit, Precinct 223",101,0,1,0,0,0,1632200002223.0
"City of Detroit, Precinct 224",190,2,2,3,0,0,1632200002224.0
"City of Detroit, Precinct 225",139,1,5,0,0,0,1632200002225.0
"City of Detroit, Precinct 226",76,1,2,1,0,0,1632200002226.0
"City of Detroit, Precinct 227",90,0,0,0,0,0,1632200002227.0
"City of Detroit, Precinct 228",159,0,7,0,0,0,1632200002228.0
"City of Detroit, Precinct 229",126,0,2,4,0,0,1632200002229.0
"City of Detroit, Precinct 230",163,0,2,2,0,0,1632200002230.0
"City of Detroit, Precinct 231",98,0,2,3,0,0,1632200002231.0
"City of Detroit, Precinct 232",135,0,1,1,0,0,1632200002232.0
"City of Detroit, Precinct 233",190,1,1,0,0,0,1632200002233.0
"City of Detroit, Precinct 234",108,0,4,1,0,0,1632200002234.0
"City of Detroit, Precinct 236",175,0,1,0,1,0,1632200002236.0
"City of Detroit, Precinct 238",116,2,0,1,0,0,1632200002238.0
"City of Detroit, Precinct 239",141,1,3,1,0,0,1632200002239.0
"City of Detroit, Precinct 240",143,0,3,2,0,0,1632200002240.0
"City of Detroit, Precinct 241",105,0,1,0,0,0,1632200002241.0
"City of Detroit, Precinct 242",132,0,1,2,0,0,1632200002242.0
"City of Detroit, Precinct 243",50,1,1,0,0,0,1632200002243.0
"City of Detroit, Precinct 244",89,0,2,0,0,0,1632200002244.0
"City of Detroit, Precinct 246",98,1,0,1,0,0,1632200002246.0
"City of Detroit, Precinct 247",90,0,1,0,0,0,1632200002247.0
"City of Detroit, Precinct 248",60,0,0,0,0,0,1632200002248.0
"City of Detroit, Precinct 249",71,0,1,1,0,0,1632200002249.0
"City of Detroit, Precinct 250",112,0,2,3,0,0,1632200002250.0
"City of Detroit, Precinct 251",59,0,1,1,0,0,1632200002251.0
"City of Detroit, Precinct 252",53,0,1,1,0,0,1632200002252.0
"City of Detroit, Precinct 253",77,1,2,0,0,0,1632200002253.0
"City of Detroit, Precinct 254",100,0,2,2,0,0,1632200002254.0
"City of Detroit, Precinct 256",121,2,0,0,0,0,1632200002256.0
"City of Detroit, Precinct 257",176,2,5,1,0,0,1632200002257.0
"City of Detroit, Precinct 258",161,0,2,2,0,0,1632200002258.0
"City of Detroit, Precinct 259",122,0,2,1,0,0,1632200002259.0
"City of Detroit, Precinct 260",118,0,3,1,0,0,1632200002260.0
"City of Detroit, Precinct 261",180,2,7,1,0,0,1632200001261.0
"City of Detroit, Precinct 263",180,0,5,3,0,0,1632200001263.0
"City of Detroit, Precinct 264",124,0,4,1,0,0,1632200001264.0
"City of Detroit, Precinct 265",81,1,3,0,0,0,1632200001265.0
"City of Detroit, Precinct 266",6,0,0,0,0,0,1632200001266.0
"City of Detroit, Precinct 267",49,0,1,0,0,0,1632200001267.0
"City of Detroit, Precinct 268",52,0,1,0,0,0,1632200001268.0
"City of Detroit, Precinct 269",63,0,2,1,0,0,1632200001269.0
"City of Detroit, Precinct 271",190,0,1,3,0,0,1632200001271.0
"City of Detroit, Precinct 272",20,0,0,0,0,0,1632200001272.0
"City of Detroit, Precinct 273",42,0,0,0,0,0,1632200001273.0
"City of Detroit, Precinct 275",105,0,1,0,0,0,1632200001275.0
"City of Detroit, Precinct 276",96,0,1,2,0,0,1632200001276.0
"City of Detroit, Precinct 278",104,1,2,0,0,1,1632200001278.0
"City of Detroit, Precinct 279",218,1,4,0,0,0,1632200001279.0
"City of Detroit, Precinct 280",36,0,1,0,0,0,1632200001280.0
"City of Detroit, Precinct 281",147,1,2,2,0,0,1632200001281.0
"City of Detroit, Precinct 282",147,0,0,2,0,0,1632200001282.0
"City of Detroit, Precinct 283",130,1,3,1,0,0,1632200001283.0
"City of Detroit, Precinct 285",138,4,5,0,0,0,1632200001285.0
"City of Detroit, Precinct 286",93,0,3,0,0,0,1632200001286.0
"City of Detroit, Precinct 287",106,0,5,1,0,0,1632200001287.0
"City of Detroit, Precinct 288",67,2,1,0,0,0,1632200002288.0
"City of Detroit, Precinct 289",65,0,4,0,0,0,1632200002289.0
"City of Detroit, Precinct 290",28,1,0,0,0,0,1632200002290.0
"City of Detroit, Precinct 291",109,0,1,2,0,0,1632200002291.0
"City of Detroit, Precinct 292",60,0,0,0,0,0,1632200002292.0
"City of Detroit, Precinct 293",54,0,2,0,0,0,1632200002293.0
"City of Detroit, Precinct 294",113,0,2,3,0,0,1632200002294.0
"City of Detroit, Precinct 295",163,0,0,0,0,0,1632200002295.0
"City of Detroit, Precinct 296",80,0,0,1,0,0,1632200002296.0
"City of Detroit, Precinct 297",92,1,0,3,0,0,1632200001297.0
"City of Detroit, Precinct 298",130,1,7,4,0,0,1632200001298.0
"City of Detroit, Precinct 299",112,0,3,1,0,0,1632200001299.0
"City of Detroit, Precinct 300",61,2,1,0,0,0,1632200001300.0
"City of Detroit, Precinct 301",33,0,0,1,0,0,1632200001301.0
"City of Detroit, Precinct 302",127,1,6,1,0,0,1632200001302.0
"City of Detroit, Precinct 304",47,0,4,0,0,0,1632200001304.0
"City of Detroit, Precinct 305",86,0,0,0,0,0,1632200001305.0
"City of Detroit, Precinct 306",112,2,5,2,0,0,1632200001306.0
"City of Detroit, Precinct 307",89,0,0,1,0,0,1632200001307.0
"City of Detroit, Precinct 308",260,0,2,1,0,0,1632200001308.0
"City of Detroit, Precinct 309",120,1,2,1,0,0,1632200001309.0
"City of Detroit, Precinct 310",133,0,5,2,0,0,1632200001310.0
"City of Detroit, Precinct 311",139,0,1,1,0,0,1632200001311.0
"City of Detroit, Precinct 312",146,1,1,2,0,0,1632200001312.0
"City of Detroit, Precinct 313",53,0,0,1,0,0,1632200002313.0
"City of Detroit, Precinct 315",109,1,3,3,0,0,1632200001315.0
"City of Detroit, Precinct 316",125,0,2,2,1,0,1632200001316.0
"City of Detroit, Precinct 317",84,0,1,0,0,0,1632200001317.0
"City of Detroit, Precinct 318",22,0,0,0,0,0,1632200002318.0
"City of Detroit, Precinct 319",60,0,0,1,0,0,1632200001319.0
"City of Detroit, Precinct 320",87,0,3,2,0,0,1632200001320.0
"City of Detroit, Precinct 321",65,0,2,0,0,0,1632200001321.0
"City of Detroit, Precinct 323",232,0,5,0,0,0,1632200001323.0
"City of Detroit, Precinct 324",195,0,4,2,0,0,1632200001324.0
"City of Detroit, Precinct 325",108,1,1,2,0,0,1632200001325.0
"City of Detroit, Precinct 326",264,2,4,1,0,0,1632200001326.0
"City of Detroit, Precinct 328",73,0,2,0,0,0,1632200001328.0
"City of Detroit, Precinct 329",41,0,1,0,0,0,1632200001329.0
"City of Detroit, Precinct 330",94,0,2,2,0,0,1632200007330.0
"City of Detroit, Precinct 331",115,2,0,0,0,0,1632200007331.0
"City of Detroit, Precinct 333",56,0,0,1,0,0,1632200007333.0
"City of Detroit, Precinct 334",43,0,2,0,0,0,1632200007334.0
"City of Detroit, Precinct 335",65,0,1,1,0,0,1632200007335.0
"City of Detroit, Precinct 336",141,2,5,4,0,0,1632200007336.0
"City of Detroit, Precinct 337",89,1,5,1,0,0,1632200007337.0
"City of Detroit, Precinct 338",123,3,5,3,1,0,1632200007338.0
"City of Detroit, Precinct 339",44,0,0,0,0,0,1632200007339.0
"City of Detroit, Precinct 340",31,0,0,2,0,0,1632200007340.0
"City of Detroit, Precinct 341",90,0,2,1,0,0,1632200007341.0
"City of Detroit, Precinct 342",103,0,3,2,0,0,1632200007342.0
"City of Detroit, Precinct 343",135,3,8,2,0,0,1632200007343.0
"City of Detroit, Precinct 344",96,0,4,0,0,0,1632200007344.0
"City of Detroit, Precinct 345",111,1,0,1,0,0,1632200007345.0
"City of Detroit, Precinct 346",88,1,3,0,0,0,1632200007346.0
"City of Detroit, Precinct 347",117,0,1,1,0,0,1632200007347.0
"City of Detroit, Precinct 348",72,0,0,0,0,0,1632200007348.0
"City of Detroit, Precinct 349",119,0,3,1,0,0,1632200007349.0
"City of Detroit, Precinct 350",30,0,3,1,0,0,1632200001350.0
"City of Detroit, Precinct 351",65,0,1,0,0,0,1632200001351.0
"City of Detroit, Precinct 352",94,0,4,0,0,0,1632200001352.0
"City of Detroit, Precinct 353",17,0,0,1,0,0,1632200007353.0
"City of Detroit, Precinct 355",109,0,4,1,0,0,1632200007355.0
"City of Detroit, Precinct 356",61,0,0,0,0,0,1632200007356.0
"City of Detroit, Precinct 357",94,0,3,1,0,0,1632200001357.0
"City of Detroit, Precinct 359",152,0,2,1,0,0,1632200001359.0
"City of Detroit, Precinct 360",2,0,0,0,0,0,1632200006360.0
"City of Detroit, Precinct 361",175,0,3,0,0,0,1632200001361.0
"City of Detroit, Precinct 362",28,0,0,0,0,0,1632200001362.0
