name,ballots,James D. Hooper,Write-in,id
"City of Detroit, Precinct 297",311,4,0,1632200001297
"City of Detroit, Precinct 298",343,19,0,1632200001298
"City of Detroit, Precinct 299",306,10,0,1632200001299
"City of Detroit, Precinct 300",183,14,0,1632200001300
"City of Detroit, Precinct 301",109,9,0,1632200001301
"City of Detroit, Precinct 302",314,10,1,1632200001302
"City of Detroit, Precinct 304",122,4,0,1632200001304
"City of Detroit, Precinct 305",287,2,0,1632200001305
"City of Detroit, Precinct 306",275,11,1,1632200001306
"City of Detroit, Precinct 307",269,4,0,1632200001307
"City of Detroit, Precinct 308",599,3,0,1632200001308
"City of Detroit, Precinct 309",259,8,0,1632200001309
"City of Detroit, Precinct 310",293,7,0,1632200001310
"City of Detroit, Precinct 311",392,5,0,1632200001311
"City of Detroit, Precinct 312",402,7,0,1632200001312
"City of Detroit, Precinct 313",225,3,0,1632200002313
"City of Detroit, Precinct 315",316,10,0,1632200001315
"City of Detroit, Precinct 316",301,9,0,1632200001316
"City of Detroit, Precinct 317",179,4,1,1632200001317
"City of Detroit, Precinct 318",64,0,0,1632200002318
"City of Detroit, Precinct 319",192,2,0,1632200001319
"City of Detroit, Precinct 320",260,8,0,1632200001320
"City of Detroit, Precinct 321",147,2,0,1632200001321
"City of Detroit, Precinct 323",659,17,1,1632200001323
"City of Detroit, Precinct 324",554,7,0,1632200001324
"City of Detroit, Precinct 325",269,7,0,1632200001325
"City of Detroit, Precinct 326",703,17,0,1632200001326
"City of Detroit, Precinct 328",188,3,0,1632200001328
"City of Detroit, Precinct 329",145,4,0,1632200001329
"City of Detroit, Precinct 330",319,6,0,1632200007330
"City of Detroit, Precinct 331",294,3,0,1632200007331
"City of Detroit, Precinct 333",162,3,0,1632200007333
"City of Detroit, Precinct 334",88,5,1,1632200007334
"City of Detroit, Precinct 335",168,6,0,1632200007335
"City of Detroit, Precinct 336",305,16,0,1632200007336
"City of Detroit, Precinct 337",178,21,0,1632200007337
"City of Detroit, Precinct 338",240,21,1,1632200007338
"City of Detroit, Precinct 339",140,7,0,1632200007339
"City of Detroit, Precinct 340",83,5,1,1632200007340
