name,ballots,Donavan McKinney,Shri Thanedar,Write-in,id
"City of Detroit, Precinct 491",246,69,142,3,1632200004491
"City of Detroit, Precinct 493",203,50,119,2,1632200005493
"City of Detroit, Precinct 496",382,172,169,1,1632200005496
"City of Detroit, Precinct 497",172,67,83,1,1632200005497
"City of Detroit, Precinct 500",217,166,34,1,1632200006500
"City of Detroit, Precinct 502",161,54,71,0,1632200004502
"City of Ecorse, Precinct 1",214,60,97,3,1632474000001
"City of Ecorse, Precinct 2",401,142,214,1,1632474000002
"City of Ecorse, Precinct 3",145,37,66,1,1632474000003
"City of Ecorse, Precinct 4",368,125,215,5,1632474000004
"City of Grosse Pointe, Precinct 1",924,330,317,2,1633548000001
"City of Grosse Pointe, Precinct 2",1075,364,355,4,1633548000002
"City of Grosse Pointe Farms, Precinct 1",1845,550,548,2,1633552000001
"City of Grosse Pointe Farms, Precinct 2",1891,596,605,3,1633552000002
"City of Grosse Pointe Park, Precinct 1",709,328,219,1,1633554000001
"City of Grosse Pointe Park, Precinct 2",739,258,259,3,1633554000002
"City of Grosse Pointe Park, Precinct 4",657,294,188,0,1633554000004
"City of Grosse Pointe Park, Precinct 5",738,396,197,2,1633554000005
"City of Grosse Pointe Park, Precinct 6",686,321,199,1,1633554000006
"City of Grosse Pointe Park, Precinct 7",738,302,243,1,1633554000007
"The Village of Grosse Pointe Shores, a Michigan City, Precinct 1",953,190,247,2,1638245300001
"City of Grosse Pointe Woods, Precinct 1",2120,677,652,7,1633558000001
"City of Grosse Pointe Woods, Precinct 2",1914,628,566,5,1633558000002
"City of Grosse Pointe Woods, Precinct 3",2187,743,664,7,1633558000003
"City of Hamtramck, Precinct 1",319,170,99,4,1633628000001
"City of Hamtramck, Precinct 2",1118,602,274,6,1633628000002
"City of Hamtramck, Precinct 3",1070,617,215,5,1633628000003
"City of Hamtramck, Precinct 4",593,361,112,6,1633628000004
"City of Hamtramck, Precinct 5",497,283,99,2,1633628000005
"City of Harper Woods, Precinct 1",773,294,341,5,1633670000001
"City of Harper Woods, Precinct 2",1103,464,451,4,1633670000002
"City of Harper Woods, Precinct 3",1450,636,528,6,1633670000003
"City of Highland Park, Precinct 1",292,110,147,2,1633818000001
"City of Highland Park, Precinct 2",362,174,153,1,1633818000002
"City of Highland Park, Precinct 3",338,139,152,3,1633818000003
"City of Highland Park, Precinct 4",260,99,123,0,1633818000004
"City of Highland Park, Precinct 5",157,65,78,1,1633818000005
"City of Highland Park, Precinct 6",213,70,116,0,1633818000006
"City of Lincoln Park, Precinct 1",891,318,319,2,1634780000001
"City of Lincoln Park, Precinct 3",816,274,332,4,1634780000003
"City of Lincoln Park, Precinct 5",1088,370,362,4,1634780000005
"City of Lincoln Park, Precinct 7",983,349,308,4,1634780000007
"City of Lincoln Park, Precinct 9",945,310,327,3,1634780000009
"City of Lincoln Park, Precinct 11",1122,325,406,2,1634780000011
"City of Melvindale, Precinct 1",390,162,118,1,1635294000001
"City of Melvindale, Precinct 2",329,135,84,5,1635294000002
"City of Melvindale, Precinct 3",306,126,99,2,1635294000003
"City of Melvindale, Precinct 4",267,104,84,2,1635294000004
"City of Melvindale, Precinct 5",336,136,106,5,1635294000005
"City of River Rouge, Precinct 1",161,57,58,2,1636876000001
"City of River Rouge, Precinct 2",136,36,56,0,1636876000002
"City of River Rouge, Precinct 3",130,41,49,0,1636876000003
"City of River Rouge, Precinct 4",240,98,120,1,1636876000004
"City of River Rouge, Precinct 5",171,69,75,1,1636876000005
"City of Romulus, Precinct 1",461,108,196,4,1636942000001
"City of Romulus, Precinct 2",880,292,388,1,1636942000002
"City of Romulus, Precinct 3",426,80,124,0,1636942000003
"City of Romulus, Precinct 4",490,129,213,6,1636942000004
"City of Romulus, Precinct 5",544,173,230,1,1636942000005
"City of Romulus, Precinct 6",203,59,84,4,1636942000006
"City of Romulus, Precinct 7",491,210,185,8,1636942000007
"City of Romulus, Precinct 8",891,361,409,3,1636942000008
"City of Romulus, Precinct 9",306,90,120,1,1636942000009
"City of Romulus, Precinct 10",464,154,220,7,1636942000010
"City of Southgate, Precinct 1",1216,330,460,2,1637496000001
"City of Southgate, Precinct 2",1274,359,483,5,1637496000002
"City of Southgate, Precinct 3",1387,407,485,6,1637496000003
"City of Southgate, Precinct 4",1175,307,458,4,1637496000004
"City of Southgate, Precinct 5",1580,401,565,4,1637496000005
"City of Taylor, Precinct 1",669,182,196,5,1637900000001
"City of Taylor, Precinct 2",370,112,93,2,1637900000002
"City of Taylor, Precinct 3",633,170,251,2,1637900000003
"City of Taylor, Precinct 4",769,203,244,3,1637900000004
"City of Taylor, Precinct 5",1049,247,360,4,1637900000005
"City of Taylor, Precinct 6",650,205,240,8,1637900000006
"City of Taylor, Precinct 7",723,200,226,2,1637900000007
"City of Taylor, Precinct 8",817,220,260,2,1637900000008
"City of Taylor, Precinct 9",710,203,231,5,1637900000009
"City of Taylor, Precinct 10",899,266,317,2,1637900000010
"City of Taylor, Precinct 11",548,169,148,1,1637900000011
"City of Taylor, Precinct 12",834,210,276,4,1637900000012
"City of Taylor, Precinct 13",895,224,347,1,1637900000013
"City of Taylor, Precinct 14",529,151,190,1,1637900000014
"City of Taylor, Precinct 15",641,155,254,1,1637900000015
"City of Wayne, Precinct 1",985,279,335,46,1638494000001
"City of Wayne, Precinct 2",1078,320,381,56,1638494000002
"City of Wayne, Precinct 3",1373,436,431,79,1638494000003
"City of Wyandotte, Precinct 1",1133,360,353,7,1638890000001
"City of Wyandotte, Precinct 2",1497,507,465,7,1638890000002
"City of Wyandotte, Precinct 3",1234,393,422,0,1638890000003
"City of Wyandotte, Precinct 4",1652,580,477,2,1638890000004
"City of Wyandotte, Precinct 5",964,304,298,2,1638890000005
