name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"City of Detroit, Precinct 273",89,69,2,1,1632200001273.0
"City of Detroit, Precinct 275",238,205,8,0,1632200001275.0
"City of Detroit, Precinct 276",242,196,14,0,1632200001276.0
"City of Detroit, Precinct 278",206,179,10,0,1632200001278.0
"City of Detroit, Precinct 279",413,340,21,2,1632200001279.0
"City of Detroit, Precinct 280",100,78,4,0,1632200001280.0
"City of Detroit, Precinct 281",319,279,13,0,1632200001281.0
"City of Detroit, Precinct 282",303,233,15,1,1632200001282.0
"City of Detroit, Precinct 283",300,252,20,1,1632200001283.0
"City of Detroit, Precinct 285",237,205,5,0,1632200001285.0
"City of Detroit, Precinct 286",227,192,15,0,1632200001286.0
"City of Detroit, Precinct 287",121,99,10,0,1632200001287.0
"City of Detroit, Precinct 288",152,124,10,2,1632200002288.0
"City of Detroit, Precinct 289",99,88,4,1,1632200002289.0
"City of Detroit, Precinct 29",72,58,6,0,1632200004029.0
"City of Detroit, Precinct 290",105,79,7,1,1632200002290.0
"City of Detroit, Precinct 291",230,200,5,0,1632200002291.0
"City of Detroit, Precinct 292",183,156,14,0,1632200002292.0
"City of Detroit, Precinct 293",110,89,4,0,1632200002293.0
"City of Detroit, Precinct 294",170,126,12,0,1632200002294.0
"City of Detroit, Precinct 295",255,216,8,1,1632200002295.0
"City of Detroit, Precinct 296",195,162,5,1,1632200002296.0
"City of Detroit, Precinct 297",219,172,17,2,1632200001297.0
"City of Detroit, Precinct 298",213,169,17,2,1632200001298.0
"City of Detroit, Precinct 299",194,164,6,1,1632200001299.0
"City of Detroit, Precinct 300",122,85,7,2,1632200001300.0
"City of Detroit, Precinct 301",76,52,4,0,1632200001301.0
"City of Detroit, Precinct 302",187,143,14,1,1632200001302.0
"City of Detroit, Precinct 304",75,57,0,1,1632200001304.0
"City of Detroit, Precinct 305",201,178,8,0,1632200001305.0
"City of Detroit, Precinct 306",163,129,15,1,1632200001306.0
"City of Detroit, Precinct 307",180,153,4,1,1632200001307.0
"City of Detroit, Precinct 308",339,302,19,0,1632200001308.0
"City of Detroit, Precinct 309",139,119,8,0,1632200001309.0
"City of Detroit, Precinct 310",160,142,5,1,1632200001310.0
"City of Detroit, Precinct 311",253,216,13,0,1632200001311.0
"City of Detroit, Precinct 312",256,206,14,1,1632200001312.0
"City of Detroit, Precinct 313",172,133,11,1,1632200002313.0
"City of Detroit, Precinct 315",207,173,8,0,1632200001315.0
"City of Detroit, Precinct 316",176,146,9,1,1632200001316.0
"City of Detroit, Precinct 317",95,72,6,1,1632200001317.0
